time_s,source,accepted,diversity_score,objective,pool_best_obj
16.1368,worker_0,0,0.0285714,27084.5,26011.1
16.1513,worker_0,0,0.0909091,27058.9,26011.1
16.1595,worker_0,1,0.18961,27053,26011.1
16.1747,worker_0,0,0.0181818,27051.4,26011.1
16.1818,worker_0,0,0.0441558,27049.6,26011.1
16.1896,worker_0,1,0.132468,27017.9,26011.1
16.2283,hgs_child,1,0.802597,42590.6,26011.1
16.3242,worker_0,1,0.275325,26978.8,26011.1
16.3293,hgs_child,1,0.735065,36288.2,26011.1
16.3311,worker_0,0,0.0311688,26972.4,26011.1
16.3407,worker_2,1,0.649351,35489.6,26011.1
16.3602,worker_0,1,0.155844,26865.9,26011.1
16.3672,worker_0,0,0.0545455,26851.7,26011.1
16.3742,worker_0,0,0.0779221,26836.8,26011.1
16.3815,worker_0,0,0.0779221,26830.5,26011.1
16.3898,worker_0,1,0.119481,26828.5,26011.1
16.4056,worker_0,0,0.012987,26827.8,26011.1
16.4127,worker_0,0,0.0701299,26796.7,26011.1
16.4287,worker_0,1,0.127273,26730.2,26011.1
16.4303,hgs_child,1,0.431169,35762.2,26011.1
16.4441,worker_0,0,0.0935065,26669.5,26011.1
16.4682,worker_0,1,0.111688,26653.6,26011.1
16.5314,hgs_child,1,0.651948,34103.5,26011.1
16.5687,worker_2,1,0.649351,35445.4,26011.1
16.6325,hgs_child,1,0.703896,36086.7,26011.1
16.7335,hgs_child,1,0.215584,30879.9,26011.1
16.794,worker_2,1,0.649351,35400.8,26011.1
16.8123,worker_0,1,0.387013,26653.3,26011.1
16.8195,worker_0,0,0.0493506,26627.1,26011.1
16.8271,worker_0,1,0.101299,26588,26011.1
16.8345,hgs_child,1,0.485714,31958.7,26011.1
16.8346,worker_0,0,0.00519481,26584,26011.1
16.8793,worker_0,1,0.122078,26572,26011.1
16.9355,hgs_child,1,0.220779,33267.2,26011.1
17.0031,worker_2,1,0.649351,35391.5,26011.1
17.0373,hgs_child,1,0.47013,37787.8,26011.1
17.1385,hgs_child,1,0.631169,34105.6,26011.1
17.2154,worker_2,1,0.646753,35376.3,26011.1
17.2395,hgs_child,1,0.742857,36500.5,26011.1
17.3406,hgs_child,1,0.657143,31049.9,26011.1
17.4238,worker_2,1,0.646753,35369.9,26011.1
17.4415,hgs_child,1,0.137662,28999.6,26011.1
17.5426,hgs_child,1,0.605195,36461.5,26011.1
17.6342,worker_2,1,0.644156,35363.9,26011.1
17.6441,hgs_child,1,0.766234,37856.6,26011.1
17.745,hgs_child,1,0.21039,31080.8,26011.1
17.8448,worker_2,1,0.67013,35334.2,26011.1
17.8461,hgs_child,1,0.612987,32914.2,26011.1
17.9482,hgs_child,1,0.444156,35170.3,26011.1
18.0469,hgs_child,1,0.241558,29609.8,26011.1
18.0548,worker_2,1,0.67013,35328,26011.1
18.1479,hgs_child,1,0.755844,40665.7,26011.1
18.249,hgs_child,1,0.485714,42613.2,26011.1
18.2689,worker_2,1,0.667532,35322.5,26011.1
18.35,hgs_child,1,0.376623,36788.8,26011.1
18.451,hgs_child,1,0.768831,38184.5,26011.1
18.485,worker_2,1,0.67013,35306.2,26011.1
18.552,hgs_child,1,0.158442,28974.6,26011.1
18.653,hgs_child,1,0.181818,28773,26011.1
18.6971,worker_2,1,0.667532,35245.9,26011.1
18.7541,hgs_child,1,0.462338,35144.3,26011.1
18.8551,hgs_child,1,0.267532,32673.4,26011.1
18.8648,worker_0,1,0.657143,26556.9,26011.1
18.8801,worker_0,0,0.0675325,26551.9,26011.1
18.8955,worker_0,0,0.0753247,26549.5,26011.1
18.9034,worker_0,0,0.0987013,26512.3,26011.1
18.9087,worker_2,1,0.67013,35233.7,26011.1
18.9344,worker_0,1,0.158442,26488.4,26011.1
18.9413,worker_0,0,0.00779221,26488,26011.1
18.9561,hgs_child,1,0.490909,29293.2,26011.1
19.0573,hgs_child,1,0.820779,39997.4,26011.1
19.1245,worker_2,1,0.672727,35225.9,26011.1
19.1584,hgs_child,1,0.407792,36464.2,26011.1
19.2594,hgs_child,1,0.615584,31052.4,26011.1
19.2783,worker_0,1,0.579221,26482.5,26011.1
19.2851,worker_0,0,0.0311688,26470,26011.1
19.3075,worker_0,0,0.0987013,26454.4,26011.1
19.3156,worker_0,1,0.122078,26426.9,26011.1
19.3359,worker_2,1,0.67013,35222.4,26011.1
19.3604,hgs_child,1,0.194805,26333.4,26011.1
19.4614,hgs_child,1,0.267532,33774.3,26011.1
19.5463,worker_2,1,0.662338,35214.4,26011.1
19.5623,hgs_child,1,0.322078,35008.6,26011.1
19.6195,worker_0,1,0.550649,26420.4,26011.1
